"trade_time";"daily_open";"daily_close";"daily_high";"daily_low";"daily_return_percentage";"ma_1hour";"ma_12hour";"volume_intensity_percentage"
"2026-07-01 01:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;3998.6725;4022.340208;193.65
"2026-07-01 01:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;3996.684167;4022.048194;150.47
"2026-07-01 01:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;3994.928333;4021.735486;147.2
"2026-07-01 01:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;3993.1175;4021.495139;105.88
"2026-07-01 01:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;3991.8;4021.278958;92.53
"2026-07-01 01:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;3989.84;4021.023681;121.86
"2026-07-01 01:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;3987.7125;4020.728819;85.26
"2026-07-01 01:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;3986.245833;4020.452917;74.12
"2026-07-01 01:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;3984.85;4020.200694;82.09
"2026-07-01 01:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;3983.354167;4019.935278;94.22
"2026-07-01 01:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;3981.7975;4019.713125;56.99
"2026-07-01 02:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;3980.4975;4019.424375;86.27
"2026-07-01 02:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;3979.488333;4019.070972;101.18
"2026-07-01 02:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;3978.815;4018.743403;98.6
"2026-07-01 02:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;3978.7525;4018.40125;70.82
"2026-07-01 02:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;3978.586667;4018.136736;51.87
"2026-07-01 02:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;3978.175833;4017.838889;58.3
"2026-07-01 02:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;3978.345;4017.562986;90.36
"2026-07-01 02:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;3979.036667;4017.356319;68.87
"2026-07-01 02:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;3979.383333;4017.067778;81.6
"2026-07-01 02:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;3979.644167;4016.777639;86.56
"2026-07-01 02:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;3979.994167;4016.441458;84.6
"2026-07-01 02:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;3980.090833;4016.093542;82.32
"2026-07-01 03:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;3980.683333;4015.784792;94.86
"2026-07-01 03:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;3981.725;4015.380139;94.31
"2026-07-01 03:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;3982.3275;4014.962917;77.43
"2026-07-01 03:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;3982.585833;4014.506181;91.4
"2026-07-01 03:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;3982.6725;4013.950208;77.56
"2026-07-01 03:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;3982.716667;4013.445764;73.32
"2026-07-01 03:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;3982.328333;4012.92625;93.61
"2026-07-01 03:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;3982.106667;4012.4525;65.6
"2026-07-01 03:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;3981.638333;4011.941667;67.25
"2026-07-01 03:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;3981.283333;4011.480764;62.26
"2026-07-01 03:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;3981.070833;4011.022708;44.59
"2026-07-01 03:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;3981.185833;4010.628333;54.12
"2026-07-01 04:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;3980.686667;4010.220556;92.79
"2026-07-01 04:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;3979.904167;4009.806042;89.64
"2026-07-01 04:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;3979.314167;4009.392639;87.97
"2026-07-01 04:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;3978.703333;4009.040139;82.82
"2026-07-01 04:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;3978.230833;4008.688194;73.75
"2026-07-01 04:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;3977.9125;4008.333681;73.71
"2026-07-01 04:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;3977.955833;4007.972222;133.58
"2026-07-01 04:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;3977.3875;4007.578403;107.88
